enregistrement,transcription,id_loc,age_loc
ESLO2_ENT_1001,ESLO2_ENT_1001_C,BV1,23
ESLO2_ENT_1003,ESLO2_ENT_1003_C,KC3,21
ESLO2_ENT_1026,ESLO2_ENT_1026_C,OW26,23
ESLO2_ENT_1038,ESLO2_ENT_1038_C,AJ38,21
ESLO2_ENT_1047,ESLO2_ENT_1047_C,LD47,25
ESLO2_ENT_1048,ESLO2_ENT_1048_C,YK48,24
ESLO2_ENT_1007,ESLO2_ENT_1007_C,ZU9,29
ESLO2_ENT_1010,ESLO2_ENT_1010_C,GK11,31
ESLO2_ENT_1013,ESLO2_ENT_1013_C,ZD13,27
ESLO2_ENT_1017,ESLO2_ENT_1017_C,BT17,28
ESLO2_ENT_1019,ESLO2_ENT_1019_C,UI19,28
ESLO2_ENT_1041,ESLO2_ENT_1041_C,BC41,30
ESLO2_ENT_1042,ESLO2_ENT_1042_C,PM42,32
ESLO2_ENT_1044,ESLO2_ENT_1044_C,DE44,32
ESLO2_ENT_1050,ESLO2_ENT_1050_C,CM50,35
ESLO2_ENT_1062,ESLO2_ENT_1062_C,JP62,33
ESLO2_ENT_1071,ESLO2_ENT_1071_C,HT398,33
ESLO2_ENT_1075,ESLO2_ENT_1075_C,XV383,26
ESLO2_ENT_1082,ESLO2_ENT_1082_C,MX953,30
ESLO2_ENT_1083,ESLO2_ENT_1083_C,SF018,32
ESLO2_ENT_1008,ESLO2_ENT_1008_C,HF8,44
ESLO2_ENT_1012,ESLO2_ENT_1012_C,UC12,36
ESLO2_ENT_1027,ESLO2_ENT_1027_C,RW27,41
ESLO2_ENT_1031,ESLO2_ENT_1031_C,NX31,36
ESLO2_ENT_1033,ESLO2_ENT_1033_C,LK33,44
ESLO2_ENT_1034,ESLO2_ENT_1034_C,LC34,45
ESLO2_ENT_1037,ESLO2_ENT_1037_C,TI37,39
ESLO2_ENT_1043,ESLO2_ENT_1043_C,AN43,39
ESLO2_ENT_1053,ESLO2_ENT_1053_C,PY53,40
ESLO2_ENT_1056,ESLO2_ENT_1056_C,TJ56,36
ESLO2_ENT_1057,ESLO2_ENT_1057_C,UZ57,43
ESLO2_ENT_1058,ESLO2_ENT_1058_C,BI58,36
ESLO2_ENT_1060,ESLO2_ENT_1060_C,YI60,41
ESLO2_ENT_1068,ESLO2_ENT_1068_C,AG68,41
ESLO2_ENT_1070,ESLO2_ENT_1070_C,70LOC,37
ESLO2_ENT_1076,ESLO2_ENT_1076_C,RL437,40
ESLO2_ENT_1272,ESLO2_ENT_1272_C,KG276,36
ESLO2_ENT_1002,ESLO2_ENT_1002_C,RL2,46
ESLO2_ENT_1005,ESLO2_ENT_1005_C,EH5,49
ESLO2_ENT_1016,ESLO2_ENT_1016_C,VB16,52
ESLO2_ENT_1018,ESLO2_ENT_1018_C,JR18,55
ESLO2_ENT_1020,ESLO2_ENT_1020_C,XF20,52
ESLO2_ENT_1021,ESLO2_ENT_1021_C,XF20,52
ESLO2_ENT_1029,ESLO2_ENT_1029_C,WC29,54
ESLO2_ENT_1036,ESLO2_ENT_1036_C,PE36,49
ESLO2_ENT_1040,ESLO2_ENT_1040_C,RL40,50
ESLO2_ENT_1045,ESLO2_ENT_1045_C,PT45,50
ESLO2_ENT_1049,ESLO2_ENT_1049_C,AU49,46
ESLO2_ENT_1051,ESLO2_ENT_1051_C,OG51,48
ESLO2_ENT_1004,ESLO2_ENT_1004_C,ZF4,62
ESLO2_ENT_1014,ESLO2_ENT_1014_C,SD14,63
ESLO2_ENT_1022,ESLO2_ENT_1022_C,DF22,60
ESLO2_ENT_1025,ESLO2_ENT_1025_C,LF25,56
ESLO2_ENT_1028,ESLO2_ENT_1028_C,QF28,58
ESLO2_ENT_1046,ESLO2_ENT_1046_C,WZ46,58
ESLO2_ENT_1054,ESLO2_ENT_1054_C,LD54,56
ESLO2_ENT_1066,ESLO2_ENT_1066_C,MX66,65
ESLO2_ENT_1067,ESLO2_ENT_1067_C,CL67,58
ESLO2_ENT_1069,ESLO2_ENT_1069_C,FJ944,62
ESLO2_ENT_1084,ESLO2_ENT_1084_C,HV753,63
ESLO2_DIA_1222,ESLO2_DIA_1222_C,QB1008_DIA,60
ESLO2_DIA_1223,ESLO2_DIA_1223_C,CF4_DIA,64
ESLO2_DIA_1224,ESLO2_DIA_1224_C,PY94_DIA,64
ESLO2_DIA_1225,ESLO2_DIA_1225_C,RF211_DIA,58
ESLO2_ENT_1006,ESLO2_ENT_1006_C,OS6,80
ESLO2_ENT_1009,ESLO2_ENT_1009_C,LX10,66
ESLO2_ENT_1011,ESLO2_ENT_1011_C,WA7,66
ESLO2_ENT_1015,ESLO2_ENT_1015_C,EW15,73
ESLO2_ENT_1023,ESLO2_ENT_1023_C,YR23,68
ESLO2_ENT_1024,ESLO2_ENT_1024_C,GC24,85
ESLO2_ENT_1030,ESLO2_ENT_1030_C,FJ30,89
ESLO2_ENT_1032,ESLO2_ENT_1032_C,FE32,69
ESLO2_ENT_1035,ESLO2_ENT_1035_C,FH35,68
ESLO2_ENT_1039,ESLO2_ENT_1039_C,RA39,67
ESLO2_ENT_1052,ESLO2_ENT_1052_C,YQ52,89
ESLO2_ENT_1059,ESLO2_ENT_1059_C,MC59,81
ESLO2_ENT_1059,ESLO2_ENT_1059_C,MC59FEM,84
ESLO2_ENT_1063,ESLO2_ENT_1063_C,NH63,68
ESLO2_ENT_1064,ESLO2_ENT_1064_C,ZT64,76
ESLO2_ENT_1065,ESLO2_ENT_1065_C,RK65,74
ESLO2_ENT_1078,ESLO2_ENT_1078_C,ZP063,80
ESLO2_ENT_1079,ESLO2_ENT_1079_C,HD735,71
ESLO2_DIA_1221,ESLO2_DIA_1221_C,DJ39_DIA,73
ESLO2_DIA_1226,ESLO2_DIA_1226_C,YR399_DIA,66
ESLO2_DIA_1227,ESLO2_DIA_1227_C,YT387_DIA,77
ESLO2_ENT_1055,ESLO2_ENT_1055_C,TQ55,45
ESLO2_ENT_1077,ESLO2_ENT_1077_C,ZD198,51
ESLO2_ENT_1085,ESLO2_ENT_1085_C,RN488,50
